start	end	text
0	4360	can we do that zero, three, nine, a row, eight?
4360	5160	Thank you.
5160	8880	I'm going to do it zero, four, zero, I'm the world bee.
8880	10160	Okay, thank you very much.
10160	11160	You guys can begin.
12840	13840	Okay.
13840	18840	So I think that we should introduce technology
21720	24760	to the classrooms and to the students.
24760	28360	I think it would be great since we live now in a world
28360	30720	where technology is everywhere.
30720	33160	I think our students are going to have
33160	36360	to experience some jobs that we don't know yet
36360	39680	that even probably doesn't don't exist yet.
39680	43440	So I think that we really have to make them familiar
43440	46280	with technology, with computers,
46280	49720	and with using them in their daily life.
49720	50760	So what do you think?
50760	55440	Yes, but don't you think that the children's
55440	59320	only use technology at school isn't too much
59320	63520	and they have to continue to write with their hands
63520	66920	and don't only use the new technology?
66920	70360	I don't think that we have to make them use
70360	73640	only technology, making them use it doesn't mean
73640	77880	that they won't be writing or anything besides,
77880	79440	they don't have to do it all the time.
79440	82800	Because I think that they have to continue writing
83480	88480	because the jobs that use the right will continue.
90120	94440	So I think it would be great to moderate
94440	97800	between new technology and like whole school.
97800	101240	Yes, we could, but I also think that using technology
101240	105760	is very important because we are facing a new generation,
105760	110520	a new world with new ways to learn.
110520	114600	And I think that we should adapt the school system to this.
114600	116560	It could increase their autonomy.
116560	119600	With more dialogue, the professor won't be there
119600	123640	just to stand here and talk and the students
123640	125200	won't be passive anymore.
125200	128520	I think it's important for them to learn them,
128520	133520	to be active, more active, and to increase their autonomy.
133520	137600	Yeah, but there is a problem that scientists proved
137600	142600	that and like therapist proved that use technology at school,
144000	147760	even children's use technology out from school.
147760	151480	So they use art school, out from school,
151480	154840	and it developed the anxiety for example,
154840	159840	and it can develop depression if they don't have access
160400	161600	to the technology.
161600	163560	So I think they get,
164560	172560	we have to make a balance between school and not school.
172560	176560	So we can make different classes, for example,
176560	180560	like if the parents want because they,
180560	184560	this is their choice when children are young
184560	186560	and make different class.
186560	188560	Yes, I think that's interesting.
188560	191560	And I agree with you, they use screens
191560	194560	and internet and computers all the time.
194560	197560	It's a generation who was born with this
197560	199560	and who knows it may be better than us.
199560	203560	And I think that we should learn them how to make good things
203560	210560	and to use these computers and all these screens
210560	211560	usefully.
211560	216560	We have to learn them how to make it good,
216560	220560	how to do good things with it, how to use them
220560	225560	and use them to help them,
225560	229560	like even in the work at work at school,
229560	234560	because now the children are using these screens
234560	239560	and everything mostly to do not to work
239560	242560	to divertissement and everything.
242560	245560	So I think it's important to learn them how to work with it
245560	247560	and how to make it useful.
247560	251560	But I don't think that for little parts,
251560	254560	yes, they will use it correctly,
254560	259560	but most of the children will want to go on Netflix
259560	263560	on YouTube and it's going to be a distraction
263560	267560	more than a real surprise.
267560	271560	Yeah, I think this is why the teachers are important
271560	273560	and this is why they are here
